id,name_en,name_ko,image_url,types,height,weight,abilities,stats_hp,stats_attack,stats_defense,stats_sp_attack,stats_sp_defense,stats_speed,flavor_text,color,generation
1,bulbasaur,이상해씨,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,"풀, 독",0.7,6.9,"심록, 엽록소",45,49,49,65,65,45,태어났을 때부터 등에 이상한 씨앗이 심어져 있으며 몸과 함께 자란다고 한다.,green,1
2,ivysaur,이상해풀,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,"풀, 독",1.0,13.0,"심록, 엽록소",60,62,63,80,80,60,꽃봉오리가 등에 붙어 있으며 양분을 흡수해가면 커다란 꽃이 핀다고 한다.,green,1
3,venusaur,이상해꽃,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,"풀, 독",2.0,100.0,"심록, 엽록소",80,82,83,100,100,80,큰 꽃잎을 펼쳐 햇빛을 받고 있으면 몸에 힘이 넘쳐흐른다.,green,1
4,charmander,파이리,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,불꽃,0.6,8.5,"맹화, 선파워",39,52,43,60,50,65,꼬리의 불꽃은 파이리의 생명력의 상징이다. 건강할 때 왕성하게 불타오른다.,red,1
5,charmeleon,리자드,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,불꽃,1.1,19.0,"맹화, 선파워",58,64,58,80,65,80,꼬리를 휘둘러 상대를 쓰러트리고 날카로운 발톱으로 갈기갈기 찢어버린다.,red,1
6,charizard,리자몽,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,"불꽃, 비행",1.7,90.5,"맹화, 선파워",78,84,78,109,85,100,입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.,red,1
7,squirtle,꼬부기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,물,0.5,9.0,"급류, 젖은접시",44,48,65,50,64,43,등껍질에 숨어 몸을 보호한다. 상대의 빈틈을 놓치지 않고 물을 뿜어내어 반격한다.,blue,1
8,wartortle,어니부기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,물,1.0,22.5,"급류, 젖은접시",59,63,80,65,80,58,딱 하고 머리를 맞을 때 등껍질로 숨어서 피한다. 하지만 꼬리가 살짝 삐져나와 있다.,blue,1
9,blastoise,거북왕,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,물,1.6,85.5,"급류, 젖은접시",79,83,100,85,105,78,무거운 몸으로 상대를 덮쳐서 기절시킨다. 위기에 처하면 등껍질에 숨는다.,blue,1
10,caterpie,캐터피,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,벌레,0.3,2.9,"인분, 도주",45,30,35,20,20,45,머리의 더듬이로부터 강렬한 냄새를 내어 적을 물리치고 몸을 보호한다.,green,1
11,metapod,단데기,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,벌레,0.7,9.9,탈피,50,20,55,25,25,30,강철같이 단단한 껍질로 부드러운 몸을 보호하고 있다. 진화할 때까지 가만히 참고 있다.,green,1
12,butterfree,버터플,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,"벌레, 비행",1.1,32.0,"복안, 색안경",60,45,50,90,80,70,꽃의 꿀을 매우 좋아한다. 약간의 꽃가루만으로 꽃밭이 있는 장소를 찾아낼 수 있다.,white,1
13,weedle,뿔충이,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,"벌레, 독",0.3,3.2,"인분, 도주",40,35,30,20,20,50,숲이나 풀밭에 많이 서식한다. 머리끝에 5cm 정도의 작고 날카로운 독침을 지니고 있다.,brown,1
14,kakuna,딱충이,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,"벌레, 독",0.6,10.0,탈피,45,25,50,25,25,35,스스로는 거의 움직일 수 없지만 위험할 때는 단단해져서 몸을 보호하고 있는 것 같다.,yellow,1
15,beedrill,독침붕,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,"벌레, 독",1.0,29.5,"벌레의알림, 스나이퍼",65,90,40,45,80,75,양손과 엉덩이에 있는 3개의 독침으로 상대를 찌르고 찌르고 또 찌르며 공격한다.,yellow,1
16,pidgey,구구,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,"노말, 비행",0.3,1.8,"날카로운눈, 갈지자걸음, 부풀린가슴",40,45,40,35,35,56,숲이나 수풀에 많이 분포해 있다. 땅에서도 격렬한 날갯짓으로 모래를 뿌리기도 한다.,brown,1
17,pidgeotto,피죤,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,"노말, 비행",1.1,30.0,"날카로운눈, 갈지자걸음, 부풀린가슴",63,60,55,50,50,71,발톱이 발달해 있다. 먹이인 아라리를 잡아 100km 떨어져 있는 둥지까지 나른다.,brown,1
18,pidgeot,피죤투,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,"노말, 비행",1.5,39.5,"날카로운눈, 갈지자걸음, 부풀린가슴",83,80,75,70,70,101,먹이를 찾을 때 수면을 아슬아슬하게 미끄러지듯 날아 잉어킹 등을 움켜잡는다.,brown,1
19,rattata,꼬렛,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,노말,0.3,3.5,"도주, 근성, 의욕",30,56,35,25,35,72,먹을 것이 있는 곳이라면 어디서든 서식한다. 온종일 먹이를 찾아다닌다.,purple,1
20,raticate,레트라,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,노말,0.7,18.5,"도주, 근성, 의욕",55,81,60,50,70,97,계속 자라는 앞니를 갈아내려고 딱딱한 것을 갉는 습성이 있다. 벽돌로 된 벽도 갉아서 부순다.,brown,1
